Name,Days,Donator?,Property,avgE7,avgE30,gym30,gym7,attacks7,attacks30,Xanax Daily,act30,act7,Revs Last 30,Contract Last 30,Revive Skill
,,,,,,,,,,,,,,,
Alice,365,1,Penthouse,1300,1200,5000,1200,100,450,2,28%,7%,30,5,90
Bob,200,0,House,900,950,4000,1000,70,300,1,27%,7%,20,3,75
Carol,150,1,Apartment,850,800,3500,800,60,250,1,25%,6%,15,2,60
Dave,90,0,House,600,500,3000,700,50,200,0,20%,5%,10,1,40
Eve,45,0,House,450,400,2500,600,40,150,0,18%,4%,8,0,30
Frank,400,1,Penthouse,1600,1500,6000,1400,120,500,3,29%,7%,40,10,95
Grace,300,1,House,1150,1100,4500,1100,90,400,2,28%,7%,25,4,80
Heidi,180,0,Apartment,750,700,3200,750,55,220,1,24%,6%,12,1,55
Ivan,120,0,House,650,600,2800,650,45,180,0,22%,5%,9,0,35
Judy,60,0,House,350,300,2000,500,25,100,0,15%,3%,5,0,20
Kevin,500,1,Penthouse,1900,1800,7000,1700,150,600,4,30%,7%,50,12,98
Laura,250,0,Apartment,1050,1000,4200,1050,80,350,2,27%,7%,22,3,72
Mallory,170,0,House,770,720,3100,720,52,210,1,23%,6%,11,1,52
Niaj,100,0,House,580,550,2700,640,42,170,0,21%,5%,8,0,32
Olivia,30,0,House,250,200,1800,450,20,80,0,12%,2%,3,0,15
Peggy,420,1,Penthouse,1650,1600,6500,1550,130,520,3,29%,7%,45,11,96
Quentin,220,1,House,1020,980,4300,1080,75,340,2,27%,7%,21,3,73
Ruth,160,0,Apartment,740,690,3050,710,50,205,1,23%,6%,10,1,50
Sybil,110,0,House,610,580,2750,660,44,175,0,21%,5%,8,0,33
Trent,5,0,House,200,150,500,500,40,40,0,4%,4%,1,0,10
Uma,3,0,House,150,100,300,300,20,20,0,3%,3%,0,0,5
Victor,365,1,House,1280,1250,5100,1230,105,460,2,28%,7%,32,6,88
Wendy,280,1,Apartment,1080,1050,4400,1090,85,380,2,27%,7%,24,4,78
Xavier,140,0,House,680,640,2900,680,48,195,0,22%,6%,9,1,38
Yara,55,0,House,320,280,1900,470,22,90,0,14%,3%,4,0,18
Zane,440,1,Penthouse,1750,1700,6700,1600,135,540,4,29%,7%,48,11,97
Avery,210,0,House,990,940,4100,1020,72,330,2,27%,7%,20,3,70
Blair,75,0,House,490,460,2400,580,35,140,0,17%,4%,7,0,28
Cory,135,0,House,660,620,2850,670,47,190,0,22%,6%,9,0,36
Dana,400,1,Penthouse,1580,1550,6300,1500,118,490,3,29%,7%,42,10,93
