attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Alice,1001,50,48,2,5,3,10,2,2.5,,5000,"$2,500,000",,,,,
Bob,1002,40,38,2,4,2,8,1,2.3,,4000,"$2,000,000",,Total Pool,"$50,000,000",,
Carol,1003,15,14,1,1,0,3,0,1.8,,1200,"$600,000",,,,,
Dave,1004,25,24,1,2,1,5,0,2.0,,2500,"$1,250,000",,Expenses,"$2,000,000",,
Frank,1006,55,53,2,6,4,11,2,2.6,,5500,"$2,750,000",,FACTION IS COVERING THESE EXPENSES,,,
Grace,1007,42,40,2,4,3,9,1,2.4,,4200,"$2,100,000",,Faction share,"$5,000,000",,
Heidi,1008,18,17,1,2,1,4,0,1.9,,1500,"$750,000",,,,,
Ivan,1009,22,21,1,2,1,4,0,2.0,,2000,"$1,000,000",,Members share,"$45,000,000",,
Kevin,1011,60,58,2,7,4,12,3,2.7,,6000,"$3,000,000",,,,,
Laura,1012,45,43,2,5,3,10,1,2.5,,4500,"$2,250,000",,Total Points,"1200",,
Mallory,1013,16,15,1,1,1,3,0,1.8,,1300,"$650,000",,,,,
Niaj,1014,20,19,1,2,1,4,0,1.9,,1800,"$900,000",,Point Value,"$41,667",,
Peggy,1016,52,50,2,6,4,11,2,2.6,,5200,"$2,600,000",,,,,
Quentin,1017,41,39,2,4,3,9,1,2.4,,4100,"$2,050,000",,Hit Value (Avg),"$100,000",,
Sybil,1019,21,20,1,2,1,4,0,1.9,,1900,"$950,000",,,,,
Victor,1022,48,46,2,5,3,10,2,2.5,,4800,"$2,400,000",,,,,
Wendy,1023,43,41,2,5,3,9,1,2.4,,4300,"$2,150,000",,,,,
Xavier,1024,19,18,1,2,1,4,0,1.9,,1600,"$800,000",,,,,
Avery,1027,40,38,2,4,2,8,1,2.3,,3900,"$1,950,000",,,,,
Dana,1030,50,48,2,5,4,10,2,2.5,,5000,"$2,500,000",,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
