attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Alice,1001,52,50,2,5,3,10,2,2.5,,5200,"$2,600,000",,,,,
Bob,1002,41,39,2,4,2,8,1,2.3,,4100,"$2,050,000",,Total Pool,"$48,000,000",,
Carol,1003,0,0,0,0,0,0,0,0.0,,0,$0,,,,,
Dave,1004,26,25,1,2,1,5,0,2.0,,2600,"$1,300,000",,Expenses,"$1,900,000",,
Frank,1006,56,54,2,6,4,11,2,2.6,,5600,"$2,800,000",,FACTION IS COVERING THESE EXPENSES,,,
Grace,1007,43,41,2,4,3,9,1,2.4,,4300,"$2,150,000",,Faction share,"$4,800,000",,
Heidi,1008,14,13,1,1,1,3,0,1.7,,1100,"$550,000",,,,,
Ivan,1009,23,22,1,2,1,4,0,2.0,,2100,"$1,050,000",,Members share,"$43,200,000",,
Kevin,1011,61,59,2,7,4,12,3,2.7,,6100,"$3,050,000",,,,,
Laura,1012,46,44,2,5,3,10,1,2.5,,4600,"$2,300,000",,Total Points,"1200",,
Mallory,1013,0,0,0,0,0,0,0,0.0,,0,$0,,,,,
Niaj,1014,21,20,1,2,1,4,0,1.9,,1900,"$950,000",,Point Value,"$40,000",,
Peggy,1016,53,51,2,6,4,11,2,2.6,,5300,"$2,650,000",,,,,
Quentin,1017,42,40,2,4,3,9,1,2.4,,4200,"$2,100,000",,Hit Value (Avg),"$100,000",,
Sybil,1019,22,21,1,2,1,4,0,1.9,,2000,"$1,000,000",,,,,
Victor,1022,49,47,2,5,3,10,2,2.5,,4900,"$2,450,000",,,,,
Wendy,1023,44,42,2,5,3,9,1,2.4,,4400,"$2,200,000",,,,,
Xavier,1024,20,19,1,2,1,4,0,1.9,,1700,"$850,000",,,,,
Avery,1027,41,39,2,4,2,8,1,2.3,,4000,"$2,000,000",,,,,
Dana,1030,51,49,2,5,4,10,2,2.5,,5100,"$2,550,000",,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
