attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Alice,1001,56,54,2,5,3,10,2,2.5,,5600,"$2,800,000",,,,,
Bob,1002,43,41,2,4,2,8,1,2.3,,4300,"$2,150,000",,Total Pool,"$55,000,000",,
Carol,1003,0,0,0,0,0,0,0,0.0,,0,$0,,,,,
Dave,1004,28,27,1,2,1,5,0,2.0,,2800,"$1,400,000",,Expenses,"$2,500,000",,
Eve,1005,5,4,1,0,0,1,0,1.2,,400,"$200,000",,FACTION IS COVERING THESE EXPENSES,,,
Frank,1006,58,56,2,6,4,11,2,2.6,,5800,"$2,900,000",,Faction share,"$5,500,000",,
Grace,1007,45,43,2,4,3,9,1,2.4,,4500,"$2,250,000",,,,,
Heidi,1008,13,12,1,1,1,3,0,1.7,,1000,"$500,000",,Members share,"$49,500,000",,
Ivan,1009,25,24,1,2,1,4,0,2.0,,2300,"$1,150,000",,,,,
Kevin,1011,63,61,2,7,4,12,3,2.7,,6300,"$3,150,000",,Total Points,"1280",,
Laura,1012,48,46,2,5,3,10,1,2.5,,4800,"$2,400,000",,,,,
Mallory,1013,10,9,1,1,1,3,0,1.7,,800,"$400,000",,Point Value,"$42,969",,
Peggy,1016,55,53,2,6,4,11,2,2.6,,5500,"$2,750,000",,,,,
Quentin,1017,44,42,2,4,3,9,1,2.4,,4400,"$2,200,000",,Hit Value (Avg),"$100,000",,
Victor,1022,51,49,2,5,3,10,2,2.5,,5100,"$2,550,000",,,,,
Wendy,1023,46,44,2,5,3,9,1,2.4,,4600,"$2,300,000",,,,,
Avery,1027,43,41,2,4,2,8,1,2.3,,4200,"$2,100,000",,,,,
Dana,1030,53,51,2,5,4,10,2,2.5,,5300,"$2,650,000",,,,,
Ghost1,9001,30,28,2,3,2,6,1,2.1,,3000,"$1,500,000",,,,,
BadRow,1999,10,9,1,1,0,2,0,1.5,,notanumber,"$1,000,000",,,,,
