attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Alice,1001,54,52,2,5,3,10,2,2.5,,5400,"$2,700,000",,,,,
Bob,1002,42,40,2,4,2,8,1,2.3,,4200,"$2,100,000",,Total Pool,"$52,000,000",,
Carol,1003,12,11,1,1,0,3,0,1.7,,950,"$475,000",,,,,
Dave,1004,27,26,1,2,1,5,0,2.0,,2700,"$1,350,000",,Expenses,"$2,200,000",,
Frank,1006,57,55,2,6,4,11,2,2.6,,5700,"$2,850,000",,FACTION IS COVERING THESE EXPENSES,,,
Grace,1007,44,42,2,4,3,9,1,2.4,,4400,"$2,200,000",,Faction share,"$5,200,000",,
Heidi,1008,0,0,0,0,0,0,0,0.0,,0,$0,,,,,
Ivan,1009,24,23,1,2,1,4,0,2.0,,2200,"$1,100,000",,Members share,"$46,800,000",,
Kevin,1011,62,60,2,7,4,12,3,2.7,,6200,"$3,100,000",,,,,
Laura,1012,47,45,2,5,3,10,1,2.5,,4700,"$2,350,000",,Total Points,"1240",,
Mallory,1013,11,10,1,1,1,3,0,1.7,,900,"$450,000",,,,,
Niaj,1014,22,21,1,2,1,4,0,1.9,,2000,"$1,000,000",,Point Value,"$41,935",,
Peggy,1016,54,52,2,6,4,11,2,2.6,,5400,"$2,700,000",,,,,
Quentin,1017,43,41,2,4,3,9,1,2.4,,4300,"$2,150,000",,Hit Value (Avg),"$100,000",,
Sybil,1019,23,22,1,2,1,4,0,1.9,,2100,"$1,050,000",,,,,
Victor,1022,50,48,2,5,3,10,2,2.5,,5000,"$2,500,000",,,,,
Wendy,1023,45,43,2,5,3,9,1,2.4,,4500,"$2,250,000",,,,,
Xavier,1024,21,20,1,2,1,4,0,1.9,,1800,"$900,000",,,,,
Avery,1027,42,40,2,4,2,8,1,2.3,,4100,"$2,050,000",,,,,
Dana,1030,52,50,2,5,4,10,2,2.5,,5200,"$2,600,000",,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0,,0,$0,,,,,
