Name,Days,Donator?,Property,avgE7,avgE30,gym30,gym7,attacks7,attacks30,Xanax Daily,act30,act7,Revs Last 30,Contract Last 30,Revive Skill
,,,,,,,,,,,,,,,
Fogest,1713,1,Private Island,1309,1641.5,1390,791,145,281,2.34,24%,35%,21,2,100
pppzzz,33,1,Private Island,1510.25,1423.5,966,1057,109,396,2.59,30%,38%,153,16,23
_HOBO_,208,1,Private Island,982.5,1357,1085,657,57,140,2.72,20%,24%,186,1,88
APersonOnEarth,315,1,Private Island,1340.5,1325.25,960,819,119,272,2.62,36%,29%,166,112,100
Shadowgts,450,1,Private Island,819.75,1318,984,423,108,269,2.59,63%,41%,132,34,100
tristitia,65,1,Private Island,1211.5,1311.5,351,1,37,106,2.62,49%,49%,1047,0,82
Locria,100,1,Private Island,1022,1290,1145,729,82,174,2.59,17%,27%,0,0,40
dang_nabbit,2310,1,Private Island,1000,1289,1096,661,95,232,2.38,58%,87%,0,0,100
Berkay16,90,1,Private Island,1025.5,1263.75,1165,790,65,118,2.69,4%,6%,1,0,12
sir1,2033,1,Private Island,1230.25,1261,844,723,61,128,1.86,30%,29%,372,0,100
moin,321,1,Private Island,1006.75,1260.5,1081,739,72,194,2.31,23%,30%,21,10,100
Shorn,2280,1,Private Island,843,1222,1016,439,113,247,1.72,10%,23%,0,0,100
Santo,550,1,Private Island,1541.25,1204.75,901,831,83,207,2.28,4%,6%,157,1,100
Zues,82,1,Private Island,899.5,1201.75,893,489,74,165,1.97,10%,7%,205,0,34
LeighLOZ,163,1,Private Island,806.5,1194,1026,724,3,39,2.38,23%,24%,162,2,100
Jimbo138,28,1,Private Island,1209.25,1185.75,894,877,61,181,2.78,20%,26%,169,0,26
JohnnyFatCock,1176,1,Private Island,1055,1169.75,1081,923,37,105,2.24,2%,3%,1,0,91
Ludger,167,1,Private Island,860.5,1161,243,371,5,52,2.38,23%,11%,1050,3,86
ANUJ2,108,1,Mansion,1002,1128.25,441,13,46,99,2.21,11%,12%,725,1,86
platypussy,35,1,Private Island,992.5,1103.75,7,7,39,96,2.21,9%,9%,1220,2,82
TiredTiddles,61,1,Private Island,1248.25,1082.25,244,288,20,42,2.1,17%,17%,964,2,91
SickRoad,33,1,Private Island,828.5,1079,35,0,35,89,2.41,4%,3%,1164,0,79
DaveyD,1354,1,Private Island,1006,1075,981,820,52,107,2.03,5%,4%,6,0,100
Cornal,69,1,Private Island,800.25,1066.25,494,418,56,59,2.1,6%,11%,628,7,100
Valeriani,146,1,Private Island,767.75,1022,42,0,56,138,1.97,3%,2%,1038,3,100
SlimGoodbody,1498,1,Private Island,1056,1012.25,985,956,28,29,1.83,4%,7%,4,0,100
Fhyona,1258,1,Private Island,603,1005.5,870,460,40,160,1.79,3%,2%,3,0,100
Dirtyplastix,229,1,Private Island,803.25,979.75,336,739,16,88,2.28,5%,5%,685,0,100
Wadabut,1882,1,Private Island,880,978,759,434,125,263,1.21,12%,14%,0,0,100
ChainsawAndy,478,1,Private Island,600.5,967.75,844,526,13,76,1.9,30%,8%,73,14,100
Trailblazer,602,1,Private Island,840.25,960.75,249,79,78,145,2.34,24%,35%,709,1,100
gingerbear,453,1,Private Island,621.75,956,933,554,16,16,1.93,15%,10%,12,0,88
Halden,76,1,Private Island,886.5,955.25,951,883,0,0,1.9,6%,6%,5,0,53
Tifferz,103,1,Private Island,717.5,940.5,916,693,6,26,1.69,5%,4%,3,0,100
RogueOsprey,59,1,Private Island,687.25,934.75,498,366,51,151,1.79,12%,11%,373,0,51
Vampyre82nd,1619,1,Private Island,503.5,928,856,471,8,62,1.72,26%,3%,24,0,100
Nyxariel,229,1,Private Island,540.75,923.5,753,387,38,159,1.9,7%,6%,45,1,100
jhaymaker,3239,1,Private Island,763.5,890.75,873,721,11,19,1.83,1%,2%,2,0,100
KBomb,437,1,Private Island,832,881,568,218,172,370,0.45,41%,31%,6,0,100
Adek110,135,1,Private Island,439.5,855.5,298,93,40,108,1.79,15%,21%,561,0,61
SekiTimewalker,33,1,Private Island,771.75,844.75,0,0,1,22,1.76,1%,1%,992,0,95
maxxratt,2491,1,Private Island,989.25,844.25,0,0,21,60,2.14,16%,17%,953,2,100
Raid,112,1,Private Island,661.25,819,492,486,47,98,1.55,13%,9%,294,4,56
Vengas,729,1,Private Island,754.5,811.75,723,508,68,82,1.66,4%,7%,25,0,100
SoldierXV,22,1,Private Island,914,809.75,104,243,20,59,2.55,9%,9%,788,3,65
Doctor-Satan,720,1,Private Island,669.75,808.5,629,391,75,188,0.28,36%,25%,27,1,100
Gruuno,34,1,Private Island,767.5,802.75,226,164,30,109,2.21,18%,17%,583,6,58
01A02C,615,1,Private Island,778,800,680,539,67,144,1.72,43%,38%,0,0,100
Wingmanjd,994,1,Private Island,587.25,788.25,547,184,102,220,1.03,20%,27%,70,0,100
Ogeday,480,1,Private Island,833,763.25,717,815,5,32,1.69,30%,20%,23,0,100
PrettyGirl86875,105,1,Private Island,704,759,741,686,5,21,1.28,47%,48%,0,0,63
badmommy6,94,1,Private Island,572,731,718,536,10,15,1.52,0%,1%,0,0,16
enxomachina,167,0,Private Island,338.5,724.75,73,171,4,235,1.79,2%,1%,547,2,100
VallioR,154,1,Private Island,574,720.75,676,474,21,35,1.38,4%,8%,19,0,69
TheMan,138,1,Private Island,700,716.5,580,550,21,119,1.34,9%,11%,45,0,41
-Jester-,788,1,Private Island,548,711,648,509,11,75,1.03,58%,37%,0,0,100
Adarey,1056,0,Private Island,466,695,642,416,14,64,1.52,1%,2%,0,0,100
Smerl1n,102,1,Private Island,376,694.25,324,337,11,20,1.59,2%,0%,424,0,90
-Flatfoot-,1020,1,Private Island,334,657.75,43,123,59,737,0.21,15%,17%,1,0,100
Orblocator,1368,1,Private Island,384,645.75,561,241,40,99,0.45,3%,3%,2,0,100
eljefe9000,352,1,Private Island,414,642,588,364,14,65,0.9,2%,4%,0,0,100
Hellangelo,1154,1,Private Island,503,635,542,446,16,112,0.38,2%,2%,0,0,100
Dos-Equis-XX,374,1,Private Island,551,633,573,447,29,72,0,9%,12%,0,0,100
FryFenix,340,1,Private Island,557.25,625.25,483,71,1,4,1.07,4%,11%,167,0,44
Mr_Eyeball,1293,1,Private Island,393,620.25,506,214,50,127,1.55,9%,3%,10,0,100
K3nto,1474,1,Private Island,273,618,607,227,13,13,1.55,1%,1%,0,0,100
xCaZx,96,1,Private Island,614.5,611.25,372,311,21,54,1.45,4%,5%,233,0,67
JaneNomi,182,1,Private Island,594.75,605.75,98,81,20,86,0,36%,40%,523,0,95
Starky,313,1,Private Island,489,605,594,489,0,13,0.72,1%,2%,0,0,100
Dizguized,1581,1,Private Island,489.5,590.75,559,468,5,37,0,2%,3%,1,0,100
parmo,334,1,Private Island,493,590.75,538,364,29,50,0.9,2%,1%,13,0,61
Fuserite,423,1,Private Island,848,580,575,827,6,6,0.79,20%,44%,0,0,100
Thaemd,263,1,Private Island,482,574,566,446,10,10,0.72,1%,2%,0,0,100
HatiFenrir,176,1,Private Island,546,570.25,322,157,102,258,0.97,65%,87%,40,0,88
Doctor_Quantum,2229,1,Private Island,431.25,567.75,498,321,27,52,1.21,1%,2%,32,0,100
AvsFanTRD,2722,1,Private Island,518,551.25,478,443,0,0,0.76,1%,2%,88,0,100
fawkses,1097,1,Private Island,549,550,334,413,38,259,0,7%,8%,0,0,100
Mauriciom2,60,1,Private Island,351,537.25,91,1,7,27,0.76,26%,28%,508,1,81
Funland,165,1,Private Island,518.25,534.5,0,0,1,2,0.1,27%,34%,639,1,94
Galaxy_Bastian,238,1,Private Island,454,526,513,404,14,15,1.45,5%,10%,0,0,100
aDyslexicPanda,226,1,Private Island,548,522.75,515,527,6,7,0.48,96%,98%,2,2,70
JPsilencer,382,1,Private Island,398.75,504.5,479,334,8,9,0.28,1%,2%,21,0,100
KirbyMorgan,84,1,Private Island,306.75,499.25,424,275,6,37,1.72,40%,42%,53,19,100
T3point1,1112,1,Private Island,379,491,479,336,12,14,0.76,1%,2%,0,0,100
Gregor,1112,1,Private Island,250.25,473.5,352,157,15,77,1.72,4%,5%,69,0,87
Wimbley,605,1,Private Island,588,472,420,509,22,62,0.86,3%,5%,0,0,100
NoodleGod,570,1,Private Island,344,442,425,344,0,20,0.31,1%,1%,0,0,100
TIRU,235,1,Private Island,312.75,439.5,315,116,50,98,0.97,20%,24%,51,5,100
MrJay,654,1,Private Island,235,423.25,325,214,6,114,1.59,80%,83%,4,0,100
SirLdBaltimore,910,1,Private Island,435,418.75,300,221,60,134,0.45,11%,12%,8,0,100
Emrys,1176,1,Private Island,490,374,353,433,16,25,0.83,0%,1%,0,0,100
johnClitCAdams,182,1,Private Island,372.25,364.5,357,354,3,6,0.21,3%,8%,3,0,56
PandaGeneral,1122,1,Private Island,89,360,348,57,9,14,0.9,2%,3%,0,0,100
Alphanda,27,0,Private Island,373.5,359.5,220,184,38,110,0.85,8%,10%,57,0,25
Reservoir,376,1,Private Island,240,347.25,260,144,27,101,0.52,4%,9%,4,0,100
KamikazeBarbie,241,1,Private Island,182,345,288,121,17,62,0.86,1%,1%,6,0,17
ZeeRazor,529,1,Private Island,193,345,345,193,0,0,0.28,1%,1%,0,0,100
Leiraa13,16,1,Private Island,379.25,268,18,79,45,72,1.47,8%,6%,228,0,34
BillyDekidd,6,1,Private Island,307.5,73,48,204,0,0,1.17,12%,11%,30,0,43
Fidz,0,1,Private Island,3.5,0.75,0,0,0,0,0,36%,36%,1,0,1
