attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Shorn,1898975,107,107,0,16,45,1,,2.6256,,421,"$221,065,077",,,,,
KBomb,212710,175,175,0,16,0,0,,1.7446,,319,"$167,476,990",,Total Pool,"$4,039,000,000",,
dang_nabbit,2173594,95,94,1,9,27,0,,2.4797,,312,"$163,576,033",,,,,
Fogest,2254826,94,90,4,9,25,0,,2.5113,,303,"$158,743,846",,Expenses,"$13,300,000",,
Wadabut,2607532,76,75,1,13,15,21,,2.6049,,279,"$146,554,242",,,,,
Shadowgts,2542050,98,85,13,7,5,46,,2.0431,,245,"$128,343,006",,Faction share,"$603,855,000",, 
moin,3552381,67,67,0,15,0,0,,2.4275,,181,"$94,868,960",,,,,
Locria,2702244,65,65,0,10,11,0,,2.0818,,169,"$88,460,411",,Members share,"$3,421,845,000",,
Fhyona,1906300,58,58,0,9,7,2,,2.3222,,164,"$85,883,904",,,,,
Doctor-Satan,2810688,56,56,0,4,7,1,,2.4689,,162,"$84,833,059",,Total Points,"6,523",,
Wingmanjd,2127679,78,78,0,11,7,0,,1.7788,,161,"$84,450,509",,,,,
Hellangelo,2496721,85,85,0,5,7,0,,1.6422,,155,"$81,410,888",,Point Value,"$524,584",,
_HOBO_,3186552,57,57,0,14,4,1,,2.1565,,148,"$77,491,411",,,,,
01A02C,2808697,65,65,0,10,2,0,,2.0478,,147,"$77,347,294",,Hit Value (Avg),"$1,251,132",,
pppzzz,2727592,49,48,1,3,12,0,,2.2494,,139,"$72,864,601",,,,,
tristitia,3868283,41,41,0,21,1,0,,2.4634,,129,"$67,844,106",,,,,
sir1,1957556,56,56,0,8,10,0,,1.8279,,128,"$67,120,563",,,,,
Gregor,2473609,58,52,6,2,0,46,,1.6369,,127,"$66,548,495",,,,,
Casey,255645,51,50,1,12,1,0,,2.1735,,124,"$65,276,418",,,,,
Jimbo138,3055520,56,56,0,12,4,2,,1.8568,,124,"$65,260,725",,,,,
-Flatfoot-,1680626,59,59,0,14,4,0,,1.6171,,113,"$59,382,056",,,,,
MrJay,919432,57,25,32,9,5,0,,2.6154,,111,"$58,310,768",,,,,
-Jester-,2614795,49,49,0,8,4,0,,1.9108,,109,"$57,135,904",,,,,
APersonOnEarth,3369571,42,42,0,3,1,20,,1.9950,,109,"$57,036,741",,,,,
Mr_Eyeball,2392690,44,43,1,7,0,0,,2.1998,,103,"$53,947,923",,,,,
ANUJ2,4005197,32,30,2,11,0,2,,2.7341,,101,"$53,067,113",,,,,
Nyxariel,2986681,51,45,6,9,2,1,,1.7506,,94,"$49,130,716",,,,,
Berkay16,2701720,31,31,0,7,0,0,,2.5752,,89,"$46,605,678",,,,,
HatiFenrir,2841538,38,31,7,12,6,0,,1.9453,,87,"$45,665,341",,,,,
Vampyre82nd,2249323,37,37,0,8,2,2,,1.9368,,85,"$44,703,658",,,,,
Adarey,2561772,35,35,0,9,0,0,,2.1480,,85,"$44,508,881",,,,,
Santo,2929191,45,45,0,7,0,0,,1.7333,,84,"$44,100,055",,,,,
Raid,2721059,31,30,1,4,0,2,,2.4832,,83,"$43,313,489",,,,,
Trailblazer,2926943,48,48,0,5,0,0,,1.6013,,81,"$42,419,527",,,,,
Dizguized,2533300,26,26,0,4,3,10,,2.2458,,81,"$42,411,431",,,,,
JohnnyFatCock,2696200,27,27,0,4,2,0,,2.5996,,81,"$42,275,473",,,,,
Wimbley,2924878,32,32,0,3,0,0,,2.3078,,77,"$40,556,515",,,,,
RogueOsprey,3580421,42,15,27,4,0,1,,2.8700,,70,"$36,509,757",,,,,
Gruuno,2964870,24,20,4,6,2,3,,2.1629,,59,"$31,202,384",,,,,
Dos-Equis-XX,500173,20,20,0,1,0,1,,2.7210,,57,"$29,975,272",,,,,
ChainsawAndy,2198367,21,20,1,26,0,1,,1.6690,,56,"$29,550,022",,,,,
TiredTiddles,3366217,15,12,3,0,1,11,,2.6307,,51,"$26,565,125",,,,,
eljefe9000,2821214,27,27,0,1,0,1,,1.7359,,49,"$25,497,906",,,,,
Adek110,3754962,16,16,0,5,0,0,,2.3788,,44,"$23,085,316",,,,,
LeighLOZ,3769756,19,12,7,7,0,4,,2.1805,,42,"$22,019,496",,,,,
Vengas,937935,14,14,0,0,0,0,,2.8907,,40,"$21,229,927",,,,,
parmo,321312,19,19,0,0,3,0,,1.8216,,40,"$21,022,578",,,,,
NoodleGod,2766349,11,11,0,8,0,0,,2.5800,,39,"$20,301,413",,,,,
Orblocator,2663964,41,10,31,1,0,2,,1.8593,,36,"$18,775,352",,,,,
Valeriani,2493937,9,9,0,1,0,9,,2.4022,,34,"$17,642,353",,,,,
Starky,2533228,11,11,0,0,0,11,,1.9564,,32,"$16,933,582",,,,,
xCaZx,2652056,24,10,14,4,0,0,,2.0675,,32,"$16,810,960",,,,,
Zues,2846293,35,1,34,2,0,0,,2.9751,,31,"$16,387,489",,,,,
DaveyD,2693816,12,12,0,1,0,0,,2.4750,,31,"$16,229,327",,,,,
SekiTimewalker,2633164,17,17,0,0,1,0,,1.7129,,31,"$16,174,477",,,,,
SirLdBaltimore,2850113,41,9,32,0,0,0,,1.6524,,28,"$14,736,341",,,,,
Ogeday,1729047,25,8,17,2,0,0,,2.1068,,28,"$14,643,824",,,,,
fawkses,2676278,19,16,3,1,0,0,,1.4716,,25,"$13,316,435",,,,,
Alphanda,2370696,22,6,16,2,0,1,,2.2055,,25,"$13,304,889",,,,,
Doctor_Quantum,2151317,12,12,0,1,0,0,,1.5525,,19,"$10,180,214",,,,,
KamikazeBarbie,3365243,8,8,0,0,0,0,,2.0825,,17,"$8,739,575",,,,,
Ludger,3157539,17,2,15,0,1,10,,1.3835,,16,"$8,527,890",,,,,
SickRoad,3376252,6,5,1,2,0,0,,2.4650,,15,"$8,081,877",,,,,
platypussy,3649855,5,5,0,1,0,0,,2.3240,,13,"$6,705,237",,,,,
Reservoir,2820434,3,3,0,1,0,0,,2.1600,,8,"$3,965,857",,,,,
PandaGeneral,1894451,4,4,0,0,0,0,,1.7925,,7,"$3,761,270",,,,,
Emrys,2382265,4,4,0,0,0,0,,1.6200,,6,"$3,399,306",,,,,
Smerl1n,3135812,4,4,0,1,0,0,,1.3375,,6,"$3,157,342",,,,,
VallioR,2800533,4,4,0,1,0,0,,1.2875,,6,"$3,039,310",,,,,
KirbyMorgan,2688235,3,3,0,0,0,0,,1.3733,,4,"$2,161,287",,,,,
badmommy6,3119154,3,2,1,1,0,1,,1.1867,,4,"$2,023,147",,,,,
TIRU,2942539,2,1,1,0,0,0,,3.0000,,4,"$1,967,191",,,,,
Cornal,3558805,1,1,0,1,0,0,,1.8400,,3,"$1,447,853",,,,,
JPsilencer,2977008,1,1,0,0,0,0,,2.5900,,3,"$1,358,673",,,,,
jhaymaker,1882241,2,0,2,0,0,2,,1.0750,,2,"$845,892",,,,,
Dirtyplastix,2982994,1,1,0,0,0,0,,1.1000,,1,"$577,043",,,,,
TheMan,2480065,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
johnClitCAdams,3305502,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
Tifferz,3717770,0,0,0,1,0,0,,0.0000,,0,$0,,,,,
SolemnLament,3358788,0,0,0,1,0,0,,0.0000,,0,$0,,,,,
T3point1,2630434,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
maxxratt,148085,0,0,0,1,0,0,,0.0000,,0,$0,,,,,
JaneNomi,3511888,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
aDyslexicPanda,1938144,0,0,0,1,0,0,,0.0000,,0,$0,,,,,
Mauriciom2,3682154,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
