attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Shorn,1898975,82,60,22,3,0,0,,3.0000,,201,"$96,563,190",,,,,
Shadowgts,2542050,75,62,13,3,0,0,,2.9329,,196,"$94,052,211",,Total Pool,"$2,043,000,000",,
Fogest,2254826,78,52,26,6,0,0,,2.9068,,179,"$85,882,574",,,,,
moin,3552381,73,54,19,0,0,0,,3.0000,,176,"$84,672,947",,Expenses,$0,,
Wadabut,2607532,66,54,12,1,0,0,,2.8561,,164,"$78,895,242",,,,,
Dirtyplastix,2982994,61,43,18,1,0,0,,2.8956,,139,"$66,771,544",,Faction share,"$306,450,000",, 
xXAemonXx,1815524,59,44,15,0,0,0,,2.8000,,134,"$64,231,336",,,,,
Raid,2721059,44,40,4,3,0,0,,2.9139,,124,"$59,494,073",,Members share,"$1,736,550,000",,
enxomachina,3092216,81,30,51,0,0,0,,2.8483,,122,"$58,496,929",,,,,
KBomb,212710,54,43,11,2,0,0,,2.3872,,112,"$53,615,457",,Total Points,"3,615",,
dang_nabbit,2173594,69,32,37,2,0,0,,2.6199,,111,"$53,176,473",,,,,
Fhyona,1906300,41,36,5,0,0,0,,2.9420,,110,"$52,647,444",,Point Value,"$480,414",,
gingerbear,2013150,62,30,32,6,0,0,,2.6032,,107,"$51,275,659",,,,,
ANUJ2,4005197,32,32,0,0,0,0,,3.0000,,96,"$46,119,733",,Hit Value (Avg),"$668,161",,
Ogeday,1729047,29,29,0,1,0,0,,2.9386,,87,"$41,646,748",,,,,
Nyxariel,2986681,56,24,32,1,0,0,,2.5155,,82,"$39,276,194",,,,,
Gregor,2473609,42,37,5,2,0,0,,2.0595,,81,"$38,834,885",,,,,
Trailblazer,2926943,48,30,18,4,0,0,,2.0029,,73,"$35,121,358",,,,,
johnClitCAdams,3305502,22,22,0,0,0,0,,3.0000,,66,"$31,707,316",,,,,
Wimbley,2924878,33,18,15,5,0,0,,2.6130,,63,"$30,441,899",,,,,
01A02C,2808697,47,12,35,2,0,0,,2.8011,,61,"$29,268,321",,,,,
Doctor-Satan,2810688,45,12,33,1,0,0,,2.8389,,59,"$28,299,714",,,,,
Wingmanjd,2127679,60,10,50,1,0,0,,2.4123,,55,"$26,655,124",,,,,
_HOBO_,3186552,39,24,15,0,0,0,,1.9141,,53,"$25,517,830",,,,,
Tang,3156845,20,16,4,0,0,0,,2.9645,,50,"$24,211,178",,,,,
JohnnyFatCock,2696200,28,15,13,1,0,0,,2.5793,,48,"$23,233,587",,,,,
Master_Chicken,3704846,46,32,14,6,0,0,,1.2113,,47,"$22,404,206",,,,,
Darkwolf1nsane,3804802,34,7,27,3,0,4,,2.4165,,42,"$20,025,629",,,,,
Zues,2846293,45,1,44,3,0,0,,2.9229,,39,"$18,956,651",,,,,
Hellangelo,2496721,48,7,41,0,0,0,,2.1558,,37,"$17,865,692",,,,,
HatiFenrir,2841538,24,7,17,6,0,0,,2.5550,,36,"$17,491,269",,,,,
MADMAX,2998553,59,1,58,1,0,0,,2.0480,,33,"$15,741,942",,,,,
NoodleGod,2766349,29,4,25,1,0,0,,2.9321,,32,"$15,142,521",,,,,
Vampyre82nd,2249323,44,0,44,0,0,0,,2.7645,,30,"$14,609,386",,,,,
DaveyD,2693816,42,0,42,0,0,0,,2.8705,,30,"$14,479,674",,,,,
SirLdBaltimore,2850113,43,9,34,1,0,0,,1.5484,,28,"$13,389,470",,,,,
PandaGeneral,1894451,39,0,39,0,0,0,,2.7482,,27,"$12,872,690",,,,,
KirbyMorgan,2688235,44,8,36,1,0,0,,1.4814,,26,"$12,454,184",,,,,
Vengas,937935,37,0,37,0,0,0,,2.7841,,26,"$12,371,859",,,,,
Tifferz,3717770,48,0,48,0,0,0,,2.1450,,26,"$12,365,853",,,,,
Dos-Equis-XX,500173,32,0,32,0,0,3,,2.6809,,25,"$12,235,616",,,,,
Mikeyz_Krazy,941262,18,12,6,0,0,0,,1.8422,,25,"$11,947,893",,,,,
Smerl1n,3135812,32,0,32,0,0,0,,2.9888,,24,"$11,486,696",,,,,
Adek110,3754962,56,0,56,0,0,0,,1.6843,,24,"$11,328,159",,,,,
MrJay,919432,21,4,17,0,0,0,,2.7176,,22,"$10,771,051",,,,,
Thaemd,3278371,61,0,61,0,0,0,,1.3700,,21,"$10,037,047",,,,,
Santo,2929191,27,7,20,0,0,0,,1.5904,,19,"$9,168,432",,,,,
KamikazeBarbie,3365243,48,0,48,0,0,0,,1.5502,,19,"$8,936,899",,,,,
Orblocator,2663964,40,0,40,0,0,0,,1.8488,,18,"$8,881,652",,,,,
Dizguized,2533300,19,4,15,0,0,0,,2.3716,,18,"$8,829,881",,,,,
TIRU,2942539,25,0,25,0,0,0,,2.8680,,18,"$8,611,419",,,,,
Adarey,2561772,34,0,34,0,0,0,,2.0418,,17,"$8,337,583",,,,,
eljefe9000,2821214,7,7,0,0,0,0,,2.4000,,17,"$8,070,953",,,,,
SlimGoodbody,2676196,36,0,36,0,0,0,,1.7547,,16,"$7,586,936",,,,,
Valeriani,2493937,25,4,21,1,0,0,,1.5848,,15,"$7,423,259",,,,,
ZeeRazor,2743541,50,0,50,0,0,0,,1.2152,,15,"$7,297,487",,,,,
-Flatfoot-,1680626,27,0,27,0,0,0,,2.2200,,15,"$7,199,002",,,,,
Funland,3358028,8,4,4,0,0,0,,2.6038,,13,"$6,254,388",,,,,
K3nto,2234728,6,6,0,0,0,0,,1.7533,,11,"$5,053,954",,,,,
Reservoir,2820434,22,0,22,0,0,0,,1.6859,,9,"$4,454,638",,,,,
APersonOnEarth,3369571,16,0,16,0,0,0,,2.2181,,9,"$4,262,472",,,,,
Berkay16,2701720,14,0,14,0,0,0,,1.8436,,6,"$3,099,871",,,,,
maxxratt,148085,11,0,11,0,0,0,,1.7882,,5,"$2,362,435",,,,,
badmommy6,3119154,3,3,0,1,0,0,,1.1767,,4,"$1,978,505",,,,,
fawkses,2676278,8,1,7,0,0,0,,1.4700,,4,"$1,942,073",,,,,
SolemnLament,3358788,2,1,1,1,0,0,,2.1850,,4,"$1,836,983",,,,,
Galaxy_Bastian,1960959,6,0,6,0,0,0,,2.2533,,3,"$1,623,799",,,,,
aDyslexicPanda,1938144,1,1,0,0,0,0,,2.4700,,2,"$1,186,622",,,,,
JaneNomi,3511888,3,0,3,0,0,0,,3.0000,,2,"$1,080,931",,,,,
ItsMisterPip,2121179,3,0,3,0,0,0,,2.2433,,2,"$808,296",,,,,
jhaymaker,1882241,2,0,2,0,0,0,,3.0000,,2,"$720,621",,,,,
LeighLOZ,3769756,5,0,5,0,0,0,,1.1480,,1,"$689,394",,,,,
Doctor_Quantum,2151317,1,1,0,0,0,0,,1.0400,,1,"$499,630",,,,,
JPsilencer,2977008,2,0,2,0,0,0,,1.1050,,1,"$265,429",,,,,
Rumian,2082182,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
ChainsawAndy,2198367,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
