attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Fogest,2254826,99,82,17,7,13,0,,2.4185,,248,"$120,941,280",,,,,
Shadowgts,2542050,76,75,1,0,0,51,,2.3054,,232,"$113,041,969",,Total Pool,"$2,812,500,000",,
MrJay,919432,80,74,6,7,1,0,,2.8771,,230,"$112,020,648",,,,,
Wadabut,2607532,81,78,3,7,4,6,,2.4981,,223,"$108,511,502",,Expenses,"$540,000",,
moin,3552381,71,64,7,19,0,0,,2.7400,,206,"$100,347,470",,,,,
DaveyD,2693816,69,58,11,5,1,19,,2.4386,,180,"$87,527,229",,Faction share,"$421,794,000",, 
Shorn,1898975,81,61,20,15,1,0,,2.3326,,174,"$84,575,491",,,,,
dang_nabbit,2173594,93,42,51,6,1,0,,2.5185,,148,"$72,010,904",,Members share,"$2,390,166,000",,
Vengas,937935,64,37,27,14,0,4,,2.8025,,148,"$71,947,788",,,,,
Locria,2702244,54,52,2,10,3,0,,2.1441,,130,"$63,131,269",,Total Points,"4,911",,
KBomb,212710,57,57,0,11,0,0,,1.8514,,116,"$56,315,826",,,,,
01A02C,2808697,47,47,0,21,1,0,,1.8902,,111,"$53,816,558",,Point Value,"$486,687",,
Doctor-Satan,2810688,51,37,14,1,0,0,,2.6935,,110,"$53,747,088",,,,,
_HOBO_,3186552,61,52,9,2,1,0,,1.9539,,110,"$53,491,142",,Hit Value (Avg),"$863,811",,
JohnnyFatCock,2696200,42,41,1,7,0,0,,2.2290,,100,"$48,546,927",,,,,
gingerbear,2013150,60,38,22,0,0,38,,1.5942,,100,"$48,491,219",,,,,
Valeriani,2493937,47,35,12,0,0,19,,2.0274,,96,"$46,869,729",,,,,
ANUJ2,4005197,40,25,15,18,0,0,,2.5180,,95,"$46,261,748",,,,,
Vampyre82nd,2249323,41,41,0,2,0,0,,2.1720,,91,"$44,396,498",,,,,
Hellangelo,2496721,47,30,17,1,0,38,,1.6660,,90,"$43,580,452",,,,,
Wingmanjd,2127679,55,30,25,1,0,3,,2.2731,,87,"$42,315,318",,,,,
eljefe9000,2821214,38,37,1,11,0,1,,1.9561,,85,"$41,173,332",,,,,
tristitia,3868283,29,23,6,3,0,15,,2.5114,,84,"$40,945,528",,,,,
Trailblazer,2926943,38,38,0,10,0,0,,1.8645,,80,"$39,018,815",,,,,
RogueOsprey,3580421,29,17,12,11,0,4,,2.7445,,75,"$36,731,830",,,,,
TiredTiddles,3366217,51,18,33,1,0,0,,2.5829,,69,"$33,626,964",,,,,
-Flatfoot-,1680626,101,6,95,2,0,0,,2.2131,,68,"$33,119,937",,,,,
Toe,1764252,31,24,7,8,2,0,,2.0200,,64,"$31,213,643",,,,,
Raid,2721059,29,17,12,10,0,0,,2.4548,,61,"$29,868,290",,,,,
Dizguized,2533300,18,18,0,5,1,12,,2.1794,,60,"$29,169,424",,,,,
Dos-Equis-XX,500173,39,10,29,0,0,9,,2.5241,,55,"$26,718,718",,,,,
Mr_Eyeball,2392690,31,22,9,2,0,0,,2.1135,,53,"$25,973,049",,,,,
Smerl1n,3135812,28,19,9,8,0,0,,2.0718,,52,"$25,459,835",,,,,
Dirtyplastix,2982994,61,0,61,1,0,0,,2.9079,,46,"$22,289,726",,,,,
Adarey,2561772,38,11,27,2,0,0,,2.4005,,45,"$21,905,698",,,,,
Fhyona,1906300,24,8,16,0,0,8,,2.7883,,45,"$21,712,710",,,,,
Nyxariel,2986681,64,0,64,0,0,0,,2.7750,,44,"$21,608,884",,,,,
PandaGeneral,1894451,38,2,36,6,2,0,,2.7450,,44,"$21,375,274",,,,,
sir1,1957556,18,18,0,2,2,0,,1.9878,,42,"$20,315,920",,,,,
SlimGoodbody,2676196,56,8,48,0,0,0,,1.9891,,40,"$19,361,435",,,,,
Starky,2533228,14,14,0,5,2,9,,1.7279,,40,"$19,341,272",,,,,
APersonOnEarth,3369571,71,1,70,0,0,0,,2.1293,,39,"$19,171,544",,,,,
SirLdBaltimore,2850113,22,21,1,0,0,18,,1.2818,,39,"$18,871,272",,,,,
LeighLOZ,3769756,22,16,6,5,0,0,,1.9368,,39,"$18,852,468",,,,,
Zues,2846293,37,3,34,0,0,3,,2.8395,,37,"$17,965,048",,,,,
KirbyMorgan,2688235,48,14,34,0,0,0,,1.5260,,34,"$16,710,840",,,,,
Gregor,2473609,21,16,5,1,0,0,,1.8967,,34,"$16,384,709",,,,,
johnClitCAdams,3305502,13,13,0,0,0,2,,2.2577,,32,"$15,383,039",,,,,
xCaZx,2652056,29,10,19,2,0,2,,1.8366,,31,"$14,971,570",,,,,
Tifferz,3717770,48,0,48,0,0,0,,2.5608,,31,"$14,955,878",,,,,
Wimbley,2924878,14,14,0,1,0,0,,2.0550,,30,"$14,502,043",,,,,
Cornal,3558805,17,17,0,1,0,0,,1.6282,,28,"$13,867,704",,,,,
Orblocator,2663964,45,2,43,1,0,0,,2.0893,,28,"$13,473,269",,,,,
Doctor_Quantum,2151317,16,14,2,2,0,0,,1.6538,,26,"$12,475,298",,,,,
T3point1,2630434,26,9,17,3,0,0,,1.7146,,25,"$12,308,584",,,,,
HatiFenrir,2841538,34,4,30,1,0,0,,1.9441,,23,"$11,354,111",,,,,
maxxratt,148085,6,6,0,5,1,0,,2.1733,,21,"$10,048,455",,,,,
Adek110,3754962,38,2,36,0,0,0,,1.8358,,20,"$9,827,995",,,,,
SolemnLament,3358788,19,11,8,1,0,0,,1.3679,,18,"$8,987,436",,,,,
Santo,2929191,13,10,3,0,0,0,,1.7100,,18,"$8,946,516",,,,,
Vulcan180,3299730,11,2,9,2,0,10,,1.7309,,18,"$8,634,705",,,,,
aDyslexicPanda,1938144,6,6,0,2,0,0,,2.4250,,17,"$8,261,505",,,,,
ChainsawAndy,2198367,6,6,0,6,0,0,,1.8167,,16,"$7,957,325",,,,,
Emrys,2382265,9,9,0,0,0,0,,1.7256,,16,"$7,558,242",,,,,
Ogeday,1729047,25,3,22,0,0,0,,1.8020,,15,"$7,454,578",,,,,
fawkses,2676278,20,6,14,0,2,0,,1.3075,,15,"$7,317,941",,,,,
jhaymaker,1882241,8,6,2,0,0,2,,1.7700,,13,"$6,460,764",,,,,
Mauriciom2,3682154,5,5,0,2,0,0,,2.1160,,13,"$6,178,973",,,,,
Galaxy_Bastian,1960959,3,3,0,2,0,0,,2.2633,,9,"$4,406,136",,,,,
parmo,321312,4,4,0,2,0,0,,1.6750,,8,"$4,076,000",,,,,
B-Positive,3692245,7,2,5,0,0,0,,2.5429,,8,"$4,022,117",,,,,
KamikazeBarbie,3365243,18,0,18,0,0,0,,1.8167,,8,"$3,978,663",,,,,
Ludger,3157539,3,3,0,2,0,0,,1.5333,,6,"$2,985,011",,,,,
JaneNomi,3511888,4,1,3,0,0,0,,2.7125,,5,"$2,310,240",,,,,
TIRU,2942539,1,1,0,1,0,0,,3.0000,,5,"$2,190,090",,,,,
-Jester-,2614795,1,1,0,0,0,0,,2.8000,,3,"$1,362,722",,,,,
Funland,3358028,2,1,1,1,0,0,,1.5650,,3,"$1,332,913",,,,,
Thaemd,3278371,1,1,0,0,0,0,,1.2200,,1,"$593,758",,,,,
TheMan,2480065,1,0,1,0,0,1,,1.3100,,1,"$478,170",,,,,
Reservoir,2820434,1,0,1,0,0,0,,3.0000,,1,"$365,015",,,,,
PrettyGirl86875,2789477,1,0,1,0,0,0,,3.0000,,1,"$365,015",,,,,
FryFenix,1008661,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
