attacker_name,attacker_id,Hits,WarHits,NotWarHits,Assist,Retals,Overseas,BonusHits,AvgFF,Extra,Points,Value,,,,,
Fogest,2254826,125,122,3,11,25,12,,2.6813,,427,"$215,213,261",,,,,
Shorn,1898975,93,93,0,13,14,0,,2.8323,,321,"$162,022,788",,Total Pool,"$3,753,000,000",,
Wadabut,2607532,90,89,1,11,20,14,,2.5766,,314,"$158,108,748",,,,,
KBomb,212710,145,145,0,16,2,0,,1.9597,,304,"$153,099,601",,Expenses,"$208,250,000",,
dang_nabbit,2173594,71,68,3,17,12,3,,2.5230,,229,"$115,399,527",,FACTION IS COVERING THESE EXPENSES,,,
Locria,2702244,67,67,0,4,12,14,,2.3476,,207,"$104,125,332",,Faction share,"$531,712,500",, 
APersonOnEarth,3369571,77,76,1,12,5,0,,2.3313,,203,"$102,520,514",,,,,
pppzzz,2727592,73,72,1,4,5,0,,2.5244,,200,"$100,832,848",,Members share,"$3,190,050,000",,
Trailblazer,2926943,63,57,6,9,3,0,,2.8292,,187,"$94,114,378",,,,,
Doctor-Satan,2810688,59,56,3,3,14,0,,2.4732,,179,"$90,063,346",,Total Points,"6,329",,
Aspenvaya,3531515,63,57,6,23,4,0,,2.4075,,178,"$89,792,130",,,,,
Vengas,937935,55,53,2,7,1,11,,2.7822,,177,"$89,044,408",,Point Value,"$504,020",,
Wingmanjd,2127679,62,58,4,11,8,3,,2.2458,,166,"$83,762,853",,,,,
Shadowgts,2542050,71,70,1,20,0,0,,2.0383,,164,"$82,444,685",,Hit Value (Avg),"$1,279,603",,
Jimbo138,3055520,42,42,0,0,0,38,,2.5900,,158,"$79,630,055",,,,,
moin,3552381,54,54,0,10,1,1,,2.4024,,145,"$73,257,054",,,,,
01A02C,2808697,57,57,0,6,7,0,,2.0918,,140,"$70,637,108",,,,,
Berkay16,2701720,49,48,1,5,0,0,,2.6943,,137,"$68,917,119",,,,,
Valeriani,2493937,41,41,0,0,0,41,,2.0415,,126,"$63,279,660",,,,,
DaveyD,2693816,41,41,0,5,0,1,,2.7532,,121,"$61,056,687",,,,,
Santo,2929191,52,52,0,9,5,0,,1.9463,,120,"$60,331,290",,,,,
Zues,2846293,59,37,22,5,0,4,,2.5300,,119,"$59,932,970",,,,,
sir1,1957556,45,45,0,12,4,6,,1.9993,,116,"$58,446,784",,,,,
_HOBO_,3186552,44,44,0,5,0,3,,2.3618,,113,"$57,139,326",,,,,
Mr_Eyeball,2392690,41,41,0,5,0,0,,1.8088,,79,"$39,657,245",,,,,
tristitia,3868283,20,20,0,17,0,0,,2.6890,,77,"$38,626,297",,,,,
Raid,2721059,36,33,3,1,1,0,,2.1483,,76,"$38,168,774",,,,,
RogueOsprey,3580421,27,19,8,10,0,0,,2.8937,,75,"$37,920,567",,,,,
Cornal,3558805,26,26,0,20,0,1,,2.0196,,74,"$37,154,289",,,,,
ANUJ2,4005197,34,22,12,7,0,0,,2.5847,,74,"$37,128,158",,,,,
JohnnyFatCock,2696200,30,30,0,2,1,0,,2.2493,,72,"$36,278,658",,,,,
Adek110,3754962,35,17,18,4,0,0,,2.6740,,63,"$31,672,087",,,,,
HatiFenrir,2841538,29,29,0,13,0,0,,1.6855,,60,"$30,158,447",,,,,
SlimGoodbody,2676196,24,21,3,2,1,4,,2.2679,,58,"$29,434,167",,,,,
Dos-Equis-XX,500173,17,17,0,0,0,15,,2.1882,,54,"$27,021,380",,,,,
TIRU,2942539,38,14,24,1,0,0,,2.4124,,49,"$24,925,559",,,,,
parmo,321312,24,24,0,1,3,0,,1.7667,,49,"$24,486,952",,,,,
Doctor_Quantum,2151317,20,19,1,1,0,0,,2.1335,,42,"$21,237,685",,,,,
Leiraa13,3749518,29,8,21,5,0,0,,2.6021,,41,"$20,656,026",,,,,
Fhyona,1906300,12,12,0,0,0,7,,2.5342,,39,"$19,797,680",,,,,
Gruuno,2964870,25,19,6,0,0,0,,1.8768,,38,"$19,391,851",,,,,
Wimbley,2924878,15,15,0,6,0,1,,2.0480,,38,"$19,096,294",,,,,
TiredTiddles,3366217,14,14,0,2,1,0,,2.3229,,37,"$18,732,248",,,,,
fawkses,2676278,19,19,0,6,1,0,,1.6147,,37,"$18,718,757",,,,,
platypussy,3649855,13,13,0,4,0,0,,2.4531,,37,"$18,545,982",,,,,
Emrys,2382265,15,15,0,1,2,0,,2.0787,,36,"$18,334,553",,,,,
K3nto,2234728,9,9,0,1,0,6,,2.4056,,30,"$15,155,589",,,,,
SickRoad,3376252,11,11,0,3,0,0,,2.3082,,29,"$14,542,111",,,,,
Adarey,2561772,10,10,0,3,0,0,,2.5020,,29,"$14,502,156",,,,,
xCaZx,2652056,18,17,1,1,0,0,,1.5572,,28,"$13,931,452",,,,,
SirLdBaltimore,2850113,34,6,28,5,0,2,,1.4715,,24,"$12,237,225",,,,,
Hellangelo,2496721,13,13,0,1,1,0,,1.6362,,24,"$11,957,477",,,,,
-Jester-,2614795,8,8,0,2,0,0,,2.6263,,24,"$11,913,133",,,,,
Thaemd,3278371,10,10,0,0,0,10,,1.5540,,23,"$11,748,697",,,,,
maxxratt,148085,10,10,0,4,0,8,,1.4050,,22,"$11,330,360",,,,,
Galaxy_Bastian,1960959,13,13,0,0,0,0,,1.6885,,22,"$11,063,230",,,,,
eljefe9000,2821214,10,10,0,2,0,2,,1.8290,,22,"$11,062,222",,,,,
Orblocator,2663964,9,7,2,2,1,1,,2.0611,,21,"$10,388,404",,,,,
Gregor,2473609,13,13,0,0,0,10,,1.0854,,20,"$9,846,992",,,,,
gingerbear,2013150,13,13,0,2,0,1,,1.3331,,19,"$9,742,505",,,,,
SoldierXV,3365352,12,7,5,1,0,2,,1.8617,,18,"$9,148,586",,,,,
Smerl1n,3135812,9,9,0,2,0,0,,1.7322,,17,"$8,730,739",,,,,
JPsilencer,2977008,6,6,0,0,0,6,,1.7817,,16,"$8,081,954",,,,,
Vampyre82nd,2249323,5,5,0,2,0,0,,2.6280,,16,"$7,947,381",,,,,
jhaymaker,1882241,9,2,7,0,0,9,,1.8400,,15,"$7,651,017",,,,,
Alphanda,2370696,29,0,29,0,0,0,,2.0279,,15,"$7,410,348",,,,,
Nyxariel,2986681,15,0,15,1,0,0,,2.8893,,12,"$6,189,193",,,,,
MrJay,919432,5,5,0,0,0,0,,2.3220,,12,"$5,851,667",,,,,
badmommy6,3119154,8,8,0,2,0,0,,1.2150,,11,"$5,511,454",,,,,
Reservoir,2820434,6,6,0,1,0,0,,1.5133,,10,"$4,957,873",,,,,
ChainsawAndy,2198367,3,3,0,5,0,0,,1.6633,,9,"$4,610,939",,,,,
VallioR,2800533,6,6,0,0,0,6,,1.0100,,9,"$4,581,538",,,,,
PandaGeneral,1894451,5,5,0,0,0,0,,1.5100,,8,"$3,805,348",,,,,
KirbyMorgan,2688235,5,5,0,1,0,0,,1.2340,,7,"$3,420,781",,,,,
aDyslexicPanda,1938144,3,3,0,1,0,0,,1.8600,,7,"$3,281,168",,,,,
Fuserite,2637871,5,5,0,0,0,0,,1.3000,,7,"$3,276,127",,,,,
JaneNomi,3511888,8,0,8,0,0,0,,3.0000,,6,"$3,024,118",,,,,
-Flatfoot-,1680626,2,2,0,0,0,0,,2.9500,,6,"$2,973,716",,,,,
Dizguized,2533300,2,2,0,0,0,0,,2.9050,,6,"$2,928,354",,,,,
Ludger,3157539,2,2,0,0,0,0,,2.8350,,6,"$2,857,791",,,,,
Ogeday,1729047,4,4,0,0,0,0,,1.3650,,5,"$2,751,947",,,,,
LeighLOZ,3769756,2,2,0,1,0,0,,2.1700,,5,"$2,734,306",,,,,
PrettyGirl86875,2789477,2,2,0,0,0,0,,2.2050,,4,"$2,222,726",,,,,
johnClitCAdams,3305502,2,2,0,1,0,0,,1.5600,,4,"$1,965,676",,,,,
T3point1,2630434,12,0,12,0,0,0,,1.1183,,3,"$1,690,986",,,,,
TheMan,2480065,2,1,1,0,0,0,,2.0400,,3,"$1,285,250",,,,,
Mauriciom2,3682154,1,1,0,0,0,0,,1.5200,,2,"$766,110",,,,,
FryFenix,1008661,1,1,0,0,0,0,,1.3000,,1,"$655,225",,,,,
KamikazeBarbie,3365243,0,0,0,2,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
,,0,0,0,0,0,0,,0.0000,,0,$0,,,,,
